case_id,prompt,variant,mjvideo_total,alignment,fineness,coherence_consistency
vbench_007,a bicycle leaning against a tree,int4_svdquant,1.1247518062591553,1.203125,0.298828125,0.765625
vbench_008,a bicycle gliding through a snowy field,bf16,1.2901005744934082,1.3671875,0.4609375,0.84765625
vbench_008,a bicycle gliding through a snowy field,int4_plain,1.1445095539093018,1.203125,0.37109375,0.7421875
vbench_008,a bicycle gliding through a snowy field,int4_svdquant,1.0455881357192993,1.09375,0.39453125,0.74609375
vbench_009,a bicycle slowing down to stop,bf16,-0.007542848587036133,-0.03173828125,-0.0234375,0.47265625
vbench_009,a bicycle slowing down to stop,int4_plain,0.07687023282051086,0.04931640625,0.05078125,0.5078125
vbench_009,a bicycle slowing down to stop,int4_svdquant,-0.31504708528518677,-0.388671875,-0.060791015625,0.46484375
vbench_010,a bicycle accelerating to gain speed,bf16,0.18318311870098114,0.18359375,-0.07666015625,0.453125
vbench_010,a bicycle accelerating to gain speed,int4_plain,-0.07194823026657104,-0.10986328125,0.06494140625,0.435546875
vbench_010,a bicycle accelerating to gain speed,int4_svdquant,0.3163034915924072,0.3203125,0.03564453125,0.53515625
vbench_011,a car stuck in traffic during rush hour,bf16,-0.5163161754608154,-0.609375,-0.25390625,0.39453125
vbench_011,a car stuck in traffic during rush hour,int4_plain,-0.5730739235877991,-0.671875,-0.19921875,0.412109375
vbench_011,a car stuck in traffic during rush hour,int4_svdquant,-0.49439537525177,-0.58203125,-0.205078125,0.408203125
vbench_012,a car turning a corner,bf16,0.3738374412059784,0.373046875,0.08642578125,0.61328125
vbench_012,a car turning a corner,int4_plain,0.7028520107269287,0.77734375,-0.2080078125,0.45703125
vbench_012,a car turning a corner,int4_svdquant,0.33929550647735596,0.328125,0.1416015625,0.65234375
vbench_013,a car slowing down to stop,bf16,0.4031830430030823,0.408203125,0.0986328125,0.61328125
vbench_013,a car slowing down to stop,int4_plain,0.5553498864173889,0.57421875,0.11328125,0.640625
vbench_013,a car slowing down to stop,int4_svdquant,0.46932050585746765,0.4765625,0.1455078125,0.66796875
vbench_014,a car accelerating to gain speed,bf16,0.6160486936569214,0.640625,0.062255859375,0.58984375
vbench_014,a car accelerating to gain speed,int4_plain,0.27118945121765137,0.265625,0.0279541015625,0.55078125
vbench_014,a car accelerating to gain speed,int4_svdquant,0.5580201148986816,0.578125,0.0341796875,0.578125
vbench_072,Close up of grapes on a rotating table.,bf16,1.2446990013122559,1.3046875,0.2109375,0.7734375
vbench_072,Close up of grapes on a rotating table.,int4_plain,0.945779025554657,0.98828125,0.1611328125,0.7109375
vbench_072,Close up of grapes on a rotating table.,int4_svdquant,1.2736893892288208,1.3359375,0.265625,0.76953125
vbench_073,Turtle swimming in ocean.,bf16,0.6959038376808167,0.71484375,0.265625,0.65234375
vbench_073,Turtle swimming in ocean.,int4_plain,0.6161108016967773,0.63671875,0.15625,0.6015625
vbench_073,Turtle swimming in ocean.,int4_svdquant,1.1795835494995117,1.234375,0.26953125,0.73828125
vbench_074,A storm trooper vacuuming the beach.,bf16,0.3596162796020508,0.36328125,0.045654296875,0.58203125
vbench_074,A storm trooper vacuuming the beach.,int4_plain,0.2552652359008789,0.25390625,0.0128173828125,0.52734375
vbench_074,A storm trooper vacuuming the beach.,int4_svdquant,0.2691701650619507,0.263671875,0.12060546875,0.60546875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,bf16,1.473795771598816,1.53125,0.357421875,0.82421875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,int4_plain,1.3613617420196533,1.4140625,0.359375,0.796875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,int4_svdquant,1.4318902492523193,1.484375,0.412109375,0.8515625
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",bf16,1.15938138961792,1.203125,0.19921875,0.78515625
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",int4_plain,0.8023574948310852,0.83203125,0.06298828125,0.69140625
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",int4_svdquant,1.0313737392425537,1.0703125,0.1337890625,0.74609375
vbench_077,Two pandas discussing an academic paper.,bf16,1.3550397157669067,1.4140625,0.251953125,0.83203125
vbench_077,Two pandas discussing an academic paper.,int4_plain,0.41126400232315063,0.416015625,0.06689453125,0.63671875
vbench_077,Two pandas discussing an academic paper.,int4_svdquant,1.3185075521469116,1.375,0.248046875,0.82421875
vbench_078,Sunset time lapse at the beach with moving clouds and colors in the sky.,bf16,1.502584457397461,1.5625,0.41796875,0.8828125
vbench_078,Sunset time lapse at the beach with moving clouds and colors in the sky.,int4_plain,1.5162608623504639,1.578125,0.392578125,0.8671875
vbench_078,Sunset time lapse at the beach with moving clouds and colors in the sky.,int4_svdquant,1.487238883972168,1.546875,0.39453125,0.87890625
vbench_079,A fat rabbit wearing a purple robe walking through a fantasy landscape.,bf16,1.115079402923584,1.1484375,0.408203125,0.7421875
vbench_079,A fat rabbit wearing a purple robe walking through a fantasy landscape.,int4_plain,1.1339619159698486,1.171875,0.408203125,0.7578125
vbench_079,A fat rabbit wearing a purple robe walking through a fantasy landscape.,int4_svdquant,1.1070163249969482,1.140625,0.37890625,0.73046875
vbench_080,A koala bear playing piano in the forest.,bf16,1.2079459428787231,1.265625,0.1435546875,0.70703125
vbench_080,A koala bear playing piano in the forest.,int4_plain,1.2656716108322144,1.3203125,0.1728515625,0.76171875
vbench_080,A koala bear playing piano in the forest.,int4_svdquant,1.3065810203552246,1.3671875,0.1533203125,0.71875
vbench_081,An astronaut flying in space.,bf16,1.1454027891159058,1.1953125,0.322265625,0.6875
vbench_081,An astronaut flying in space.,int4_plain,0.6244595050811768,0.64453125,0.2109375,0.62109375
vbench_081,An astronaut flying in space.,int4_svdquant,0.9779576659202576,1.015625,0.390625,0.65625
vbench_082,Fireworks.,bf16,0.8511427640914917,0.921875,-0.1533203125,0.52734375
vbench_082,Fireworks.,int4_plain,0.6770578622817993,0.7421875,-0.3125,0.396484375
vbench_082,Fireworks.,int4_svdquant,0.7512583136558533,0.8125,-0.2021484375,0.455078125
vbench_083,An animated painting of fluffy white clouds moving in sky.,bf16,1.359151005744934,1.4140625,0.44140625,0.8125
vbench_083,An animated painting of fluffy white clouds moving in sky.,int4_plain,1.0869497060775757,1.125,0.34375,0.7265625
vbench_083,An animated painting of fluffy white clouds moving in sky.,int4_svdquant,1.1657041311264038,1.2109375,0.341796875,0.765625
vbench_084,Flying through fantasy landscapes.,bf16,0.8056914806365967,0.83203125,0.1630859375,0.64453125
vbench_084,Flying through fantasy landscapes.,int4_plain,-1.1848912239074707,-1.3828125,-0.1279296875,0.318359375
vbench_084,Flying through fantasy landscapes.,int4_svdquant,0.5048192143440247,0.515625,0.1708984375,0.59375
vbench_085,A bigfoot walking in the snowstorm.,bf16,-0.6310694217681885,-0.7265625,-0.07080078125,0.416015625
vbench_085,A bigfoot walking in the snowstorm.,int4_plain,-0.6193293333053589,-0.70703125,-0.15234375,0.37890625
vbench_085,A bigfoot walking in the snowstorm.,int4_svdquant,-0.38708773255348206,-0.447265625,-0.0771484375,0.451171875
vbench_086,A squirrel eating a burger.,bf16,1.284324288368225,1.34375,0.228515625,0.734375
vbench_086,A squirrel eating a burger.,int4_plain,1.3217594623565674,1.390625,0.201171875,0.7265625
vbench_086,A squirrel eating a burger.,int4_svdquant,0.9903467297554016,1.03125,0.259765625,0.7265625
vbench_087,A cat wearing sunglasses and working as a lifeguard at a pool.,bf16,1.2538349628448486,1.296875,0.396484375,0.83203125
vbench_087,A cat wearing sunglasses and working as a lifeguard at a pool.,int4_plain,1.2975049018859863,1.34375,0.44921875,0.8984375
vbench_087,A cat wearing sunglasses and working as a lifeguard at a pool.,int4_svdquant,1.193115472793579,1.234375,0.318359375,0.8125
vbench_088,Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks.,bf16,1.2241127490997314,1.265625,0.3828125,0.85546875
vbench_088,Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks.,int4_plain,0.6635814309120178,0.6796875,0.146484375,0.66015625
vbench_088,Snow rocky mountains peaks canyon. snow blanketed rocky mountains surround and shadow deep canyons. the canyons twist and bend through the high elevated mountain peaks.,int4_svdquant,1.2291440963745117,1.265625,0.396484375,0.8828125
vbench_089,"Splash of turquoise water in extreme slow motion, alpha channel included.",bf16,0.4718165695667267,0.48828125,-0.087890625,0.56640625
vbench_089,"Splash of turquoise water in extreme slow motion, alpha channel included.",int4_plain,-0.10225170850753784,-0.1142578125,-0.248046875,0.30859375
vbench_089,"Splash of turquoise water in extreme slow motion, alpha channel included.",int4_svdquant,0.7516745328903198,0.7890625,-0.201171875,0.4765625
vbench_090,an ice cream is melting on the table.,bf16,0.5561328530311584,0.57421875,0.095703125,0.578125
vbench_090,an ice cream is melting on the table.,int4_plain,0.27604615688323975,0.2734375,0.0220947265625,0.55078125
vbench_090,an ice cream is melting on the table.,int4_svdquant,-0.20431870222091675,-0.2421875,-0.04296875,0.423828125
vbench_165,alley,bf16,-0.34142664074897766,-0.44140625,-0.36328125,0.263671875
vbench_165,alley,int4_plain,0.04796886444091797,0.0146484375,-0.1083984375,0.43359375
vbench_165,alley,int4_svdquant,-0.520611047744751,-0.68359375,-0.3515625,0.244140625
vbench_166,amusement park,bf16,1.2179759740829468,1.3359375,0.3125,0.7890625
vbench_166,amusement park,int4_plain,0.8913725018501282,1.0,0.022705078125,0.6328125
vbench_166,amusement park,int4_svdquant,0.8002890944480896,0.86328125,0.1484375,0.66015625
vbench_167,aquarium,bf16,1.2670032978057861,1.3984375,0.2119140625,0.78515625
vbench_167,aquarium,int4_plain,0.8322051763534546,0.90234375,0.17578125,0.640625
vbench_167,aquarium,int4_svdquant,1.2766094207763672,1.4140625,0.2138671875,0.75390625
vbench_168,arch,bf16,-0.1616029590368271,-0.2138671875,-0.26171875,0.353515625
vbench_168,arch,int4_plain,-0.06615480780601501,-0.0888671875,-0.392578125,0.33984375
vbench_168,arch,int4_svdquant,-0.12470269203186035,-0.1748046875,-0.23828125,0.369140625
vbench_169,art gallery,bf16,-0.4728630781173706,-0.56640625,-0.318359375,0.2333984375
vbench_169,art gallery,int4_plain,-0.19095885753631592,-0.228515625,-0.2392578125,0.337890625
vbench_169,art gallery,int4_svdquant,-0.12378473579883575,-0.1611328125,-0.173828125,0.333984375
vbench_170,bathroom,bf16,-1.0364186763763428,-1.3125,-0.44140625,0.09521484375
vbench_170,bathroom,int4_plain,-1.0156316757202148,-1.3125,-0.412109375,0.19140625
vbench_170,bathroom,int4_svdquant,-1.0566343069076538,-1.3671875,-0.390625,0.2294921875
vbench_171,bakery shop,bf16,-0.9780107736587524,-1.2734375,-0.2734375,0.232421875
vbench_171,bakery shop,int4_plain,-0.8015739917755127,-1.1171875,-0.1181640625,0.376953125
vbench_171,bakery shop,int4_svdquant,-1.176700234413147,-1.453125,-0.330078125,0.201171875
vbench_172,ballroom,bf16,-1.0858018398284912,-1.3125,-0.3359375,0.224609375
vbench_172,ballroom,int4_plain,-0.3412020206451416,-0.4296875,-0.294921875,0.3203125
vbench_172,ballroom,int4_svdquant,-0.7615627646446228,-0.90234375,-0.392578125,0.171875
vbench_173,bar,bf16,-0.4392130374908447,-0.57421875,-0.1826171875,0.390625
vbench_173,bar,int4_plain,-0.5871703028678894,-0.734375,-0.3046875,0.27734375
vbench_173,bar,int4_svdquant,-0.6147892475128174,-0.76953125,-0.296875,0.244140625
vbench_174,barn,bf16,-0.4563886225223541,-0.62109375,-0.296875,0.31640625
vbench_174,barn,int4_plain,-0.5093549489974976,-0.671875,-0.31640625,0.296875
vbench_174,barn,int4_svdquant,-0.4187275767326355,-0.5703125,-0.28515625,0.30078125
vbench_175,basement,bf16,-0.6737244129180908,-0.8125,-0.3359375,0.265625
vbench_175,basement,int4_plain,-0.7717393636703491,-0.9609375,-0.345703125,0.18359375
vbench_175,basement,int4_svdquant,-0.6243909597396851,-0.77734375,-0.3203125,0.1923828125
vbench_176,beach,bf16,0.2624029517173767,0.263671875,-0.0703125,0.5
vbench_176,beach,int4_plain,-0.6941726207733154,-0.84765625,-0.30078125,0.2578125
vbench_176,beach,int4_svdquant,-0.8111114501953125,-0.984375,-0.29296875,0.216796875
vbench_177,bedroom,bf16,-0.8015937805175781,-1.046875,-0.251953125,0.29296875
vbench_177,bedroom,int4_plain,-0.8757578134536743,-1.078125,-0.416015625,0.1484375
vbench_177,bedroom,int4_svdquant,-0.8422027826309204,-1.0625,-0.32421875,0.1708984375
vbench_178,bridge,bf16,-0.6613682508468628,-0.89453125,-0.20703125,0.37109375
vbench_178,bridge,int4_plain,-0.8888164758682251,-1.0546875,-0.435546875,0.1484375
vbench_178,bridge,int4_svdquant,-0.8339192271232605,-1.015625,-0.353515625,0.2158203125
vbench_179,botanical garden,bf16,-0.3344908356666565,-0.419921875,-0.2734375,0.314453125
vbench_179,botanical garden,int4_plain,-0.17831945419311523,-0.25,-0.1484375,0.390625
vbench_179,botanical garden,int4_svdquant,0.6715580821037292,0.74609375,-0.0277099609375,0.5859375
vbench_180,cafeteria,bf16,-0.5059650540351868,-0.63671875,-0.236328125,0.330078125
vbench_180,cafeteria,int4_plain,1.1120988130569458,1.2109375,0.25,0.70703125
vbench_180,cafeteria,int4_svdquant,0.8000472784042358,0.89453125,-0.005950927734375,0.6015625
vbench_181,campsite,bf16,-0.8883415460586548,-1.1015625,-0.28125,0.28125
vbench_181,campsite,int4_plain,-0.22706031799316406,-0.2890625,-0.263671875,0.33203125
vbench_181,campsite,int4_svdquant,-0.7867693901062012,-0.94140625,-0.39453125,0.12890625
